date,crop,price_per_quintal,mandi,state
2023-03-31,Rice,1865.06,Delhi,Delhi
2023-04-01,Rice,1895.6,Delhi,Delhi
2023-04-02,Rice,1912.96,Delhi,Delhi
2023-04-03,Rice,1922.05,Delhi,Delhi
2023-04-04,Rice,1903.12,Delhi,Delhi
2023-04-05,Rice,1884.37,Delhi,Delhi
2023-04-06,Rice,1859.72,Delhi,Delhi
2023-04-07,Rice,1884.98,Delhi,Delhi
2023-04-08,Rice,1894.09,Delhi,Delhi
2023-04-09,Rice,1909.94,Delhi,Delhi
2023-04-10,Rice,1882.59,Delhi,Delhi
2023-04-11,Rice,1914.61,Delhi,Delhi
2023-04-12,Rice,1938.48,Delhi,Delhi
2023-04-13,Rice,1922.99,Delhi,Delhi
2023-04-14,Rice,1905.68,Delhi,Delhi
2023-04-15,Rice,1888.63,Delhi,Delhi
2023-04-16,Rice,1879.26,Delhi,Delhi
2023-04-17,Rice,1883.62,Delhi,Delhi
2023-04-18,Rice,1882.21,Delhi,Delhi
2023-04-19,Rice,1872.07,Delhi,Delhi
2023-04-20,Rice,1881.79,Delhi,Delhi
2023-04-21,Rice,1862.22,Delhi,Delhi
2023-04-22,Rice,1852.24,Delhi,Delhi
2023-04-23,Rice,1846.85,Delhi,Delhi
2023-04-24,Rice,1846.95,Delhi,Delhi
2023-04-25,Rice,1867.1,Delhi,Delhi
2023-04-26,Rice,1851.39,Delhi,Delhi
2023-04-27,Rice,1855.04,Delhi,Delhi
2023-04-28,Rice,1863.48,Delhi,Delhi
2023-04-29,Rice,1838.38,Delhi,Delhi
2023-04-30,Rice,1847.67,Delhi,Delhi
2023-05-01,Rice,1830.35,Delhi,Delhi
2023-05-02,Rice,1806.82,Delhi,Delhi
2023-05-03,Rice,1836.3,Delhi,Delhi
2023-05-04,Rice,1867.27,Delhi,Delhi
2023-05-05,Rice,1889.07,Delhi,Delhi
2023-05-06,Rice,1879.73,Delhi,Delhi
2023-05-07,Rice,1857.59,Delhi,Delhi
2023-05-08,Rice,1871.67,Delhi,Delhi
2023-05-09,Rice,1870.78,Delhi,Delhi
2023-05-10,Rice,1850.25,Delhi,Delhi
2023-05-11,Rice,1852.73,Delhi,Delhi
2023-05-12,Rice,1827.04,Delhi,Delhi
2023-05-13,Rice,1854.46,Delhi,Delhi
2023-05-14,Rice,1842.48,Delhi,Delhi
2023-05-15,Rice,1855.13,Delhi,Delhi
2023-05-16,Rice,1846.39,Delhi,Delhi
2023-05-17,Rice,1850.38,Delhi,Delhi
2023-05-18,Rice,1856.01,Delhi,Delhi
2023-05-19,Rice,1839.49,Delhi,Delhi
2023-05-20,Rice,1870.75,Delhi,Delhi
2023-05-21,Rice,1890.54,Delhi,Delhi
2023-05-22,Rice,1920.8,Delhi,Delhi
2023-05-23,Rice,1948.71,Delhi,Delhi
2023-05-24,Rice,1957.93,Delhi,Delhi
2023-05-25,Rice,1988.12,Delhi,Delhi
2023-05-26,Rice,1964.1,Delhi,Delhi
2023-05-27,Rice,1947.35,Delhi,Delhi
2023-05-28,Rice,1921.04,Delhi,Delhi
2023-05-29,Rice,1912.85,Delhi,Delhi
2023-05-30,Rice,1908.69,Delhi,Delhi
2023-05-31,Rice,1897.15,Delhi,Delhi
2023-06-01,Rice,1922.12,Delhi,Delhi
2023-06-02,Rice,1917.45,Delhi,Delhi
2023-06-03,Rice,1907.99,Delhi,Delhi
2023-06-04,Rice,1915.07,Delhi,Delhi
2023-06-05,Rice,1896.76,Delhi,Delhi
2023-06-06,Rice,1920.06,Delhi,Delhi
2023-06-07,Rice,1897.5,Delhi,Delhi
2023-06-08,Rice,1932.38,Delhi,Delhi
2023-06-09,Rice,1954.2,Delhi,Delhi
2023-06-10,Rice,1939.25,Delhi,Delhi
2023-06-11,Rice,1912.04,Delhi,Delhi
2023-06-12,Rice,1936.36,Delhi,Delhi
2023-06-13,Rice,1954.05,Delhi,Delhi
2023-06-14,Rice,1973.32,Delhi,Delhi
2023-06-15,Rice,1995.54,Delhi,Delhi
2023-06-16,Rice,1972.06,Delhi,Delhi
2023-06-17,Rice,1967.38,Delhi,Delhi
