crop,state,season,soil_type,rainfall_mm,temperature_c,ph,nitrogen,phosphorus,potassium,land_area_acres,yield_per_acre,total_yield
Maize,Karnataka,Zaid,Loamy,1523.1,24.7,8.4,221.2,58.5,128.4,7.5,28.24,212.39
Soybean,Maharashtra,Kharif,Clay,1309.6,29.5,6.5,70.9,77.0,135.6,6.7,14.07,93.67
Soybean,Gujarat,Kharif,Loamy,1009.3,30.1,6.3,108.6,99.0,203.2,15.8,14.65,230.97
Onion,Madhya Pradesh,Zaid,Red Soil,431.0,35.5,7.6,223.4,60.9,142.9,11.8,86.23,1017.5
Cotton,Karnataka,Zaid,Sandy Loam,1121.2,37.7,6.8,203.2,29.7,215.3,12.5,9.58,119.38
Potato,Uttar Pradesh,Kharif,Alluvial,1008.9,30.7,8.1,177.6,73.5,167.2,12.9,119.07,1532.81
Groundnut,Uttar Pradesh,Zaid,Black Soil,714.2,19.5,7.0,73.9,90.8,175.4,14.7,10.53,155.31
Rice,Madhya Pradesh,Kharif,Clay,570.2,18.5,7.4,129.7,75.4,160.9,8.4,26.5,222.36
Groundnut,Gujarat,Rabi,Loamy,693.2,23.7,6.9,189.2,20.3,177.6,2.1,11.29,23.65
Rice,Maharashtra,Rabi,Alluvial,1596.7,23.5,8.1,57.4,64.2,98.0,17.8,18.67,332.57
Potato,Madhya Pradesh,Rabi,Red Soil,1452.5,33.6,8.0,154.5,24.7,145.7,10.9,95.19,1037.72
Wheat,Punjab,Rabi,Red Soil,1414.1,23.0,6.9,162.3,42.6,109.2,11.7,22.22,260.15
Chickpea,Uttar Pradesh,Zaid,Sandy Loam,1542.8,18.7,7.1,266.5,98.7,65.9,9.1,8.63,78.83
Rice,Gujarat,Kharif,Alluvial,804.7,36.3,7.0,164.4,80.3,198.4,1.9,30.3,58.27
Cotton,Uttar Pradesh,Kharif,Sandy Loam,1627.7,21.6,6.1,216.3,28.9,183.0,17.9,9.42,168.27
Rice,Uttar Pradesh,Rabi,Black Soil,1798.3,28.4,6.7,92.9,24.5,81.4,7.4,19.74,146.75
Cotton,Uttar Pradesh,Kharif,Loamy,1347.9,36.3,5.3,171.3,75.9,66.3,17.5,8.35,146.23
Rice,Maharashtra,Zaid,Alluvial,930.2,36.2,7.9,213.9,57.0,163.0,9.1,24.8,224.52
Wheat,Punjab,Zaid,Red Soil,1715.8,28.6,6.6,218.4,51.3,190.4,19.3,19.2,371.47
Rice,Uttar Pradesh,Rabi,Sandy Loam,1608.0,28.2,5.4,225.0,72.9,59.8,16.1,18.05,289.75
