crop,season,humidity_percent,temperature_c,rainfall_mm,disease_risk,disease_occurred
Soybean,Kharif,47.3,15.5,983.4,Low,None
Tomato,Rabi,40.6,15.6,399.9,Low,None
Wheat,Kharif,70.3,31.8,737.1,Medium,Loose Smut
Potato,Rabi,47.0,22.5,946.9,Low,None
Soybean,Kharif,71.3,19.1,942.9,Medium,Pod Borer
Tomato,Zaid,67.1,34.6,1678.5,Medium,Late Blight
Wheat,Kharif,51.4,25.5,1611.5,Medium,Loose Smut
Wheat,Rabi,87.5,25.5,1365.9,High,Rust
Rice,Kharif,57.3,29.5,1336.8,Medium,Brown Spot
Cotton,Kharif,47.1,35.4,1495.3,Medium,Bacterial Blight
Potato,Kharif,70.8,32.8,558.0,Medium,None
Tomato,Rabi,77.6,35.7,1277.9,High,Late Blight
Rice,Kharif,88.6,19.2,1083.2,High,Blast
Cotton,Zaid,40.8,25.0,1858.1,Low,None
Wheat,Rabi,81.5,30.4,1873.2,High,Loose Smut
Tomato,Zaid,62.2,25.2,1258.1,Medium,Fruit Borer
Cotton,Zaid,72.1,27.0,1331.8,High,Whitefly
Soybean,Kharif,81.1,36.9,1575.3,High,Pod Borer
Soybean,Rabi,45.9,27.6,421.2,Low,None
Cotton,Kharif,70.0,36.7,867.7,Medium,Bollworm
Wheat,Kharif,46.0,33.9,1176.5,Low,None
Tomato,Rabi,59.7,19.4,1143.9,Low,None
Soybean,Kharif,60.2,35.0,428.8,Low,None
Tomato,Kharif,75.4,36.1,309.7,Medium,Early Blight
Wheat,Rabi,65.5,16.3,1878.3,Medium,Rust
Rice,Zaid,66.3,33.4,1411.9,Medium,Bacterial Leaf Blight
Tomato,Zaid,82.8,36.7,904.1,Medium,Fruit Borer
Rice,Kharif,55.1,20.6,727.5,Low,None
Cotton,Kharif,47.4,27.4,1992.8,Medium,Bollworm
Tomato,Kharif,81.2,31.8,299.3,Medium,Early Blight
Potato,Rabi,50.4,24.3,453.0,Low,None
Cotton,Rabi,93.6,23.9,1397.2,High,Whitefly
Soybean,Kharif,46.8,34.2,919.0,Low,None
Rice,Zaid,70.2,28.6,621.2,Medium,None
Wheat,Zaid,66.3,29.0,1600.0,Medium,None
Potato,Zaid,71.9,24.7,974.5,Medium,None
Wheat,Kharif,48.4,27.1,469.0,Low,None
Tomato,Kharif,43.9,34.7,1937.6,Medium,Fruit Borer
Potato,Kharif,81.2,32.5,942.8,High,Late Blight
Wheat,Kharif,53.6,28.4,1586.9,Medium,Rust
Cotton,Zaid,93.4,16.3,543.6,Medium,Bollworm
Rice,Zaid,56.7,18.5,1046.0,Low,None
Wheat,Rabi,48.1,31.3,980.2,Low,None
Potato,Rabi,80.9,25.6,1403.6,High,Late Blight
Rice,Kharif,66.7,30.4,1240.6,High,Bacterial Leaf Blight
Potato,Zaid,49.1,28.6,1781.8,Medium,Late Blight
Cotton,Rabi,64.0,28.1,477.4,Low,None
Wheat,Kharif,40.1,27.8,1622.5,Medium,Powdery Mildew
Cotton,Zaid,95.0,23.3,387.2,Medium,Bacterial Blight
Potato,Rabi,86.4,26.0,1950.4,High,Late Blight
Wheat,Zaid,87.3,16.3,1600.7,High,Rust
Potato,Kharif,68.7,28.3,209.2,Medium,Early Blight
Rice,Kharif,63.1,26.6,1841.0,High,Bacterial Leaf Blight
Rice,Rabi,55.2,20.0,1392.5,Low,None
Soybean,Rabi,45.3,30.3,824.2,Low,None
Rice,Zaid,64.0,17.9,1460.7,Medium,Bacterial Leaf Blight
Tomato,Rabi,50.9,19.9,764.5,Low,None
Wheat,Rabi,65.7,22.0,440.5,Low,None
Wheat,Kharif,46.0,23.4,1238.5,Medium,Loose Smut
Tomato,Kharif,77.5,25.2,1531.2,High,Fruit Borer
Potato,Rabi,77.1,16.8,770.3,Low,None
Cotton,Kharif,71.8,24.6,516.6,Medium,Bollworm
Cotton,Kharif,93.0,22.1,1537.8,High,Whitefly
Wheat,Rabi,94.7,33.9,572.2,Low,None
Rice,Zaid,87.4,30.3,1286.0,High,Blast
Rice,Kharif,93.2,19.6,257.7,Medium,None
Wheat,Zaid,66.2,33.7,1941.7,Medium,Powdery Mildew
Rice,Rabi,79.7,29.2,594.2,Medium,None
Wheat,Zaid,55.7,21.7,1887.7,Low,None
Cotton,Zaid,88.4,33.3,304.7,Medium,Whitefly
Cotton,Kharif,80.5,30.6,366.1,Medium,None
Soybean,Rabi,56.7,36.9,1380.5,Low,None
Tomato,Zaid,75.5,26.0,684.8,Medium,Fruit Borer
Rice,Rabi,52.9,21.7,574.9,Low,None
Rice,Kharif,50.0,18.2,1579.1,Medium,Brown Spot
Tomato,Zaid,45.3,22.4,404.6,Low,None
Tomato,Kharif,88.0,21.2,1815.0,High,Late Blight
Cotton,Kharif,71.3,25.0,1461.8,High,Bacterial Blight
