soil_type,season,rainfall_mm,temperature_c,ph,nitrogen,phosphorus,potassium,recommended_crop
Sandy Loam,Rabi,575.1,33.5,8.14,230.2,76.5,269.1,Mustard
Alluvial,Kharif,616.1,13.5,5.59,32.6,49.6,69.4,Rice
Clay Loam,Rabi,1877.7,26.7,8.74,79.1,108.6,78.1,Tomato
Black Soil,Rabi,1389.8,25.7,5.03,136.2,40.0,264.9,Chickpea
Clay Loam,Zaid,711.9,33.8,7.73,184.8,117.8,235.6,Tomato
Clay,Zaid,652.9,36.6,7.42,38.9,80.1,266.8,Rice
Clay Loam,Kharif,2316.7,10.6,7.93,131.2,56.1,183.3,Soybean
Sandy Loam,Rabi,1645.4,16.8,5.68,210.0,53.1,221.2,Mustard
Red Soil,Rabi,2153.9,11.6,8.27,313.6,45.7,264.9,Cotton
Loamy,Rabi,1709.6,31.7,5.07,278.9,83.2,41.2,Chickpea
Loamy,Rabi,2167.8,21.2,7.64,322.4,49.7,255.3,Wheat
Clay Loam,Rabi,1382.1,37.9,4.72,308.7,43.3,182.2,Chickpea
Clay,Zaid,2248.1,18.4,5.77,191.6,58.2,148.8,Rice
Clay Loam,Zaid,810.7,28.8,7.6,83.3,85.8,208.4,Tomato
Alluvial,Rabi,1403.9,21.6,5.43,299.4,116.2,41.6,Mustard
Sandy Loam,Kharif,1746.7,33.4,6.39,222.2,51.1,56.7,Groundnut
Sandy Loam,Rabi,1364.3,38.9,6.33,316.0,65.0,30.8,Mustard
Alluvial,Kharif,2008.8,20.0,5.01,62.5,53.5,64.9,Cotton
Loamy,Kharif,1254.8,13.2,7.49,260.5,118.1,240.5,Groundnut
Clay Loam,Rabi,1954.6,30.5,5.55,166.5,96.4,246.8,Chickpea
Clay Loam,Kharif,1867.9,27.0,5.41,103.4,30.2,81.0,Soybean
Sandy Loam,Zaid,1642.4,18.1,6.31,334.2,17.3,256.2,Tomato
Red Soil,Zaid,1195.8,38.6,7.06,188.1,57.0,172.3,Cotton
Loamy,Kharif,458.2,39.2,5.52,257.1,29.9,272.8,Soybean
Clay,Zaid,1979.9,10.3,5.28,184.9,86.4,54.3,Rice
Red Soil,Zaid,1765.0,35.7,6.42,248.9,111.0,294.7,Groundnut
Clay Loam,Rabi,1507.8,23.0,7.05,47.2,67.2,261.9,Chickpea
Clay,Rabi,545.9,29.2,6.2,315.0,48.5,221.0,Rice
Sandy Loam,Kharif,747.0,12.6,5.64,188.6,47.3,268.5,Groundnut
Loamy,Zaid,1810.9,38.7,5.58,299.7,73.6,265.6,Tomato
Alluvial,Zaid,1358.6,26.2,7.21,136.6,96.5,153.3,Sugarcane
Sandy Loam,Kharif,467.5,33.2,6.99,97.3,50.4,140.9,Maize
Clay Loam,Kharif,1064.5,24.6,4.52,290.2,20.1,125.9,Soybean
Clay Loam,Zaid,333.4,12.5,6.05,256.8,69.4,81.9,Onion
Loamy,Rabi,1000.1,38.6,8.04,299.0,69.9,96.6,Mustard
Black Soil,Zaid,1891.4,14.7,7.5,62.2,41.2,293.4,Cotton
Black Soil,Zaid,1522.6,20.7,6.02,253.6,95.9,58.7,Cotton
Red Soil,Kharif,906.9,31.0,5.4,67.4,74.0,274.0,Cotton
Black Soil,Zaid,1373.5,26.5,4.95,220.5,66.3,104.1,Soybean
Alluvial,Rabi,900.0,18.5,6.15,192.6,77.9,158.6,Potato
Alluvial,Rabi,2397.1,19.7,5.65,223.9,76.9,152.4,Potato
Red Soil,Kharif,1817.8,34.7,8.03,278.4,51.2,258.6,Cotton
Clay,Kharif,2062.7,14.7,7.79,295.0,70.2,201.5,Rice
Red Soil,Rabi,1138.6,28.0,5.03,258.6,108.8,293.3,Groundnut
Red Soil,Zaid,677.5,14.8,5.6,125.2,34.7,108.9,Groundnut
Alluvial,Kharif,797.3,37.7,8.12,88.3,111.9,100.9,Rice
Loamy,Rabi,1945.1,38.4,6.01,101.2,103.5,179.0,Mustard
